nospo_bert_P,nospo_bert_R,nospo_bert_F1
0.8391,0.9003,0.8686
0.8438,0.9093,0.8753
0.7203,0.9076,0.8032
0.8849,0.9402,0.9117
0.9072,0.9373,0.922
0.8454,0.9089,0.876
0.8485,0.9568,0.8994
0.8421,0.9113,0.8754
0.8765,0.9625,0.9175
0.8256,0.9108,0.8661
0.8589,0.9325,0.8942
0.8808,0.9378,0.9084
0.8882,0.9418,0.9142
0.8656,0.942,0.9022
0.8595,0.9296,0.8932
0.9219,0.9711,0.9458
0.9256,0.9698,0.9471
0.9724,0.9863,0.9793
0.8206,0.903,0.8598
0.8755,0.9555,0.9138
0.8676,0.9222,0.8941
0.8537,0.957,0.9024
0.8271,0.9274,0.8744
0.8708,0.9283,0.8986
0.8848,0.9483,0.9154
0.9241,0.9528,0.9383
0.8305,0.9613,0.8911
0.9154,0.9379,0.9265
0.9133,0.9656,0.9387
0.9374,0.9672,0.9521
0.8623,0.9332,0.8963
0.8922,0.9292,0.9103
0.9221,0.9817,0.951
0.9543,0.9724,0.9633
0.9321,0.9695,0.9504
0.8591,0.9222,0.8895
0.8356,0.9007,0.8669
0.8491,0.905,0.8761
0.919,0.953,0.9357
0.8578,0.9077,0.882
0.8929,0.9351,0.9136
0.8488,0.9567,0.8995
0.9188,0.9716,0.9445
0.9012,0.9515,0.9257
0.8238,0.9001,0.8603
0.8875,0.9596,0.9222
0.9237,0.967,0.9449
0.7611,0.8698,0.8119
0.8574,0.9314,0.8928
0.9204,0.9649,0.9421
0.8754,0.9426,0.9077
0.9369,0.9538,0.9453
0.8343,0.9316,0.8803
0.8697,0.9151,0.8918
0.9094,0.9456,0.9272
0.8281,0.9381,0.8797
0.828,0.9061,0.8653
0.9578,0.9773,0.9675
0.832,0.8223,0.8271
0.8099,0.9076,0.856
0.9535,0.9748,0.9641
0.7982,0.8766,0.8356
0.8675,0.9253,0.8954
0.8153,0.907,0.8587
0.8419,0.9266,0.8822
0.8108,0.8862,0.8468
0.8083,0.8683,0.8372
0.7874,0.8553,0.82
0.8111,0.8896,0.8485
0.8269,0.8916,0.858
0.7853,0.8642,0.8228
0.7499,0.8538,0.7985
0.8208,0.8891,0.8536
0.8486,0.9146,0.8803
0.7802,0.8715,0.8233
0.8131,0.8728,0.8419
0.8026,0.8766,0.838
0.8255,0.8977,0.8601
0.8745,0.9465,0.9091
0.894,0.945,0.9188
0.8233,0.8992,0.8596
0.8755,0.9429,0.908
0.8763,0.9311,0.9029
0.8475,0.9146,0.8798
0.8863,0.9385,0.9116
0.9137,0.9586,0.9356
0.7955,0.8773,0.8344
0.936,0.9736,0.9544
0.8102,0.8866,0.8467
0.8729,0.9187,0.8952
0.8914,0.9374,0.9138
0.8241,0.9077,0.8639
0.9018,0.9428,0.9218
0.9018,0.9558,0.928
0.8183,0.9151,0.864
0.7927,0.8895,0.8384
0.8337,0.9101,0.8702
0.7612,0.8893,0.8203
0.9433,0.9775,0.9601
0.8319,0.9387,0.8821
0.8641,0.9075,0.8853
0.8607,0.9123,0.8857
0.8537,0.9251,0.8879
0.7834,0.8864,0.8317
0.8251,0.8904,0.8565
0.8405,0.8993,0.869
0.8376,0.8931,0.8644
0.8712,0.9302,0.8997
0.911,0.9519,0.931
0.7656,0.8654,0.8124
0.776,0.9362,0.8486
0.8403,0.9074,0.8725
0.894,0.9479,0.9202
0.8235,0.8927,0.8567
0.8813,0.9511,0.9149
0.9118,0.9661,0.9382
0.8508,0.8991,0.8743
0.8158,0.8894,0.851
0.8959,0.9761,0.9343
0.9114,0.96,0.935
0.8766,0.9349,0.9048
0.828,0.9267,0.8746
0.8361,0.9319,0.8814
0.8452,0.9257,0.8836
0.8701,0.9102,0.8897
0.8674,0.9288,0.8971
0.9745,0.9887,0.9815
0.8227,0.8932,0.8565
0.9224,0.9454,0.9338
0.8907,0.9419,0.9156
0.9316,0.9699,0.9504
0.7863,0.8739,0.8278
0.9239,0.9709,0.9468
0.9086,0.9466,0.9272
0.8503,0.9172,0.8825
0.8596,0.9217,0.8896
0.8746,0.9268,0.9
0.9205,0.9575,0.9387
0.8636,0.9144,0.8883
0.8885,0.9416,0.9142
0.8299,0.8992,0.8631
0.813,0.9018,0.8551
0.8173,0.906,0.8594
0.8218,0.8984,0.8584
0.9158,0.9706,0.9424
0.9002,0.9356,0.9175
0.8604,0.9152,0.887
0.8965,0.9389,0.9172
0.8538,0.9147,0.8832
0.854,0.9095,0.8809
0.88,0.9216,0.9003
0.8202,0.9269,0.8703
0.8947,0.9289,0.9115
0.7979,0.9119,0.8511
0.8737,0.9181,0.8954
0.8242,0.9034,0.862
0.8254,0.9214,0.8707
0.7941,0.9132,0.8495
0.8447,0.9174,0.8795
0.787,0.8868,0.8339
0.8912,0.9397,0.9148
0.8855,0.9322,0.9082
0.9014,0.9476,0.9239
0.9042,0.9307,0.9173
0.8486,0.9048,0.8758
0.8262,0.9336,0.8766
0.8885,0.9303,0.9089
0.8679,0.9217,0.894
0.8832,0.9454,0.9132
0.8983,0.9472,0.9221
0.8695,0.9367,0.9018
0.9705,0.991,0.9806
0.8769,0.9417,0.9081
0.9065,0.9629,0.9339
0.842,0.9219,0.8802
0.857,0.9388,0.8961
0.8255,0.8829,0.8532
0.8917,0.9603,0.9247
0.8535,0.947,0.8978
0.8167,0.9404,0.8742
0.8458,0.9017,0.8729
0.9057,0.9424,0.9237
0.8768,0.9206,0.8982
0.8332,0.911,0.8704
0.8126,0.8937,0.8512
0.8249,0.9379,0.8778
0.9765,0.9825,0.9795
0.8386,0.8993,0.8679
0.9572,0.9726,0.9648
0.9217,0.9611,0.941
0.8838,0.9274,0.9051
0.8877,0.9707,0.9274
0.8414,0.8987,0.8691
0.8436,0.9235,0.8817
0.9281,0.9615,0.9445
0.8778,0.9051,0.8912
0.8999,0.9465,0.9226
0.8998,0.9504,0.9244
0.8781,0.9529,0.9139
0.8733,0.94,0.9054
0.8164,0.8843,0.849
0.8093,0.9157,0.8592
0.8279,0.8978,0.8615
0.8986,0.9408,0.9192
0.89,0.928,0.9086
0.8752,0.9134,0.8939
0.8536,0.8959,0.8742
0.8384,0.9263,0.8801
0.8577,0.9347,0.8946
0.8519,0.9143,0.882
0.8107,0.8854,0.8464
0.8516,0.9252,0.8869
0.9414,0.9635,0.9523
0.8915,0.9503,0.92
0.9097,0.9495,0.9292
0.857,0.9139,0.8845
0.8864,0.9217,0.9037
0.9324,0.957,0.9446
0.8814,0.9335,0.9067
0.8643,0.9087,0.8859
0.9088,0.9599,0.9337
0.8549,0.9159,0.8843
0.8697,0.9232,0.8957
0.8632,0.9496,0.9044
0.9284,0.9654,0.9465
0.8637,0.9319,0.8965
0.8661,0.9222,0.8933
0.8418,0.8991,0.8695
0.9304,0.9616,0.9457
0.8579,0.927,0.8911
0.859,0.914,0.8857
0.8564,0.9244,0.8891
0.8868,0.9312,0.9085
0.8772,0.9271,0.9014
0.7783,0.8741,0.8234
0.8667,0.9311,0.8977
0.9292,0.9752,0.9516
0.968,0.9827,0.9753
0.8974,0.9473,0.9217
0.866,0.9205,0.8924
0.8599,0.9235,0.8906
0.9145,0.9564,0.935
0.8668,0.93,0.8973
0.8534,0.9133,0.8823
0.8629,0.9349,0.8975
0.8911,0.9266,0.9085
0.8247,0.8935,0.8577
0.9046,0.951,0.9272
0.876,0.9533,0.913
0.8887,0.9352,0.9114
0.8588,0.9162,0.8866
0.8787,0.9229,0.9002
0.9312,0.9677,0.9491
0.8877,0.9335,0.9101
0.8573,0.9194,0.8873
0.8595,0.9259,0.8915
0.8924,0.9387,0.9149
0.8858,0.9585,0.9207
0.8523,0.9294,0.8892
0.8801,0.9394,0.9088
0.8569,0.9146,0.8848
0.8951,0.945,0.9194
0.8773,0.9441,0.9095
0.9054,0.9555,0.9297
0.8734,0.9216,0.8968
0.8173,0.8778,0.8465
0.837,0.8916,0.8634
0.7729,0.8978,0.8307
0.8153,0.9057,0.8581
0.8757,0.9362,0.905
0.8496,0.8967,0.8725
0.8551,0.9312,0.8915
0.8786,0.9283,0.9028
0.8924,0.9333,0.9124
0.8705,0.916,0.8927
0.8439,0.8943,0.8683
0.8216,0.9045,0.8611
0.9295,0.9591,0.9441
0.888,0.937,0.9118
0.9622,0.9747,0.9684
0.8489,0.908,0.8775
0.8976,0.9452,0.9208
0.8537,0.9113,0.8816
0.8855,0.9273,0.9059
0.8571,0.9231,0.8889
0.8996,0.9577,0.9277
0.8798,0.9316,0.9049
0.8332,0.8856,0.8586
0.7745,0.856,0.8132
0.9296,0.9642,0.9466
0.8415,0.9399,0.888
0.8644,0.9073,0.8854
0.7977,0.8721,0.8333
0.8973,0.9512,0.9235
0.8571,0.909,0.8823
0.8458,0.9291,0.8855
0.8803,0.9221,0.9007
0.8857,0.9422,0.9131
0.8728,0.9246,0.8979
0.8798,0.929,0.9037
0.7909,0.9163,0.849
0.8688,0.9307,0.8987
0.8878,0.9411,0.9137
0.8665,0.9275,0.896
0.8514,0.9059,0.8778
0.8357,0.9022,0.8677
0.8678,0.9156,0.8911
0.8796,0.9348,0.9063
0.8683,0.9193,0.8931
0.8818,0.9266,0.9037
0.8538,0.9165,0.8841
0.9069,0.9403,0.9233
0.8556,0.9443,0.8978
0.8827,0.9243,0.903
0.8055,0.9212,0.8595
0.927,0.9722,0.949
0.8483,0.93,0.8872
0.9417,0.9641,0.9527
0.8552,0.9087,0.8811
0.8833,0.9309,0.9065
0.8808,0.9227,0.9013
0.8387,0.9157,0.8755
0.8974,0.9343,0.9155
0.8809,0.955,0.9165
0.8408,0.8819,0.8608
0.8512,0.9076,0.8785
0.8577,0.9114,0.8837
0.8563,0.9046,0.8798
0.8826,0.9151,0.8985
0.8822,0.9384,0.9094
0.7895,0.9078,0.8445
0.8503,0.9016,0.8752
0.8795,0.9398,0.9087
0.9297,0.9634,0.9463
0.8095,0.8869,0.8464
0.9081,0.956,0.9314
0.8059,0.88,0.8413
0.8663,0.9196,0.8921
0.9071,0.9478,0.927
0.8965,0.9484,0.9217
0.8696,0.9357,0.9014
0.8224,0.8826,0.8515
0.9241,0.9552,0.9394
0.8295,0.8952,0.8611
0.8458,0.9364,0.8888
0.9199,0.966,0.9424
0.909,0.9435,0.9259
0.8695,0.9191,0.8936
0.7933,0.8618,0.8261
0.8444,0.9163,0.8789
0.8355,0.9007,0.8668
0.8975,0.9435,0.9199
0.8297,0.9038,0.8651
0.876,0.9164,0.8957
0.8458,0.9071,0.8754
0.8947,0.9411,0.9173
0.9356,0.9709,0.9529
0.8378,0.909,0.872
0.8921,0.9585,0.9241
0.884,0.9464,0.9142
0.8774,0.9354,0.9055
0.8315,0.8874,0.8585
0.827,0.8917,0.8581
0.7973,0.8791,0.8362
0.8095,0.8991,0.8519
0.841,0.8984,0.8688
0.8405,0.9383,0.8867
0.8544,0.9129,0.8827
0.8283,0.8925,0.8592
0.8642,0.9147,0.8887
0.8059,0.8965,0.8488
0.916,0.9415,0.9286
0.8232,0.8818,0.8515
0.8251,0.8929,0.8576
0.8802,0.9417,0.9099
0.8131,0.8937,0.8515
0.9147,0.9571,0.9355
0.8536,0.9275,0.889
0.864,0.9459,0.9031
0.841,0.9304,0.8834
0.8898,0.9354,0.912
0.8954,0.9691,0.9308
0.8963,0.9182,0.9071
0.8387,0.9385,0.8858
0.8663,0.9161,0.8905
0.8887,0.9291,0.9085
0.8675,0.923,0.8944
0.8005,0.8949,0.845
0.9155,0.9505,0.9327
0.8682,0.9426,0.9039
0.8287,0.916,0.8702
0.8498,0.9073,0.8776
0.894,0.9411,0.9169
0.8161,0.8945,0.8535
0.86,0.9201,0.8891
0.8737,0.9324,0.9021
0.8927,0.9652,0.9275
0.9238,0.9712,0.9469
0.8426,0.912,0.8759
0.8567,0.9433,0.8979
0.8021,0.8955,0.8462
0.8827,0.9366,0.9089
0.9097,0.9702,0.939
0.8091,0.8893,0.8473
0.8451,0.9123,0.8774
0.9077,0.9376,0.9225
0.8506,0.9376,0.892
0.8746,0.9488,0.9102
0.8946,0.9372,0.9154
0.8953,0.9597,0.9264
0.8043,0.8921,0.8459
0.8584,0.9229,0.8895
0.8249,0.9157,0.868
0.8303,0.9094,0.8681
0.8926,0.9282,0.91
0.9024,0.9394,0.9206
0.8968,0.9422,0.9189
0.8867,0.9384,0.9118
0.8675,0.9182,0.8921
0.9024,0.9626,0.9316
0.8812,0.9702,0.9236
0.8654,0.9233,0.8934
0.862,0.9198,0.89
0.877,0.9338,0.9045
0.8353,0.9078,0.87
0.9022,0.9445,0.9229
0.944,0.9619,0.9529
0.9068,0.959,0.9321
0.8509,0.9348,0.8908
0.896,0.9736,0.9332
0.9157,0.9721,0.943
0.8832,0.9467,0.9139
0.8681,0.932,0.8989
0.8092,0.9009,0.8526
0.9464,0.9718,0.9589
0.8429,0.9194,0.8795
0.8661,0.9265,0.8953
0.8433,0.9241,0.8819
0.8906,0.9255,0.9077
0.902,0.9638,0.9319
0.8564,0.9397,0.8961
0.9202,0.9473,0.9336
0.848,0.9212,0.8831
0.9274,0.9565,0.9417
0.9051,0.9391,0.9218
0.8374,0.9112,0.8727
0.8655,0.9269,0.8952
0.9,0.9412,0.9201
0.9139,0.9574,0.9352
0.8602,0.9251,0.8914
0.8906,0.9349,0.9122
0.8731,0.9239,0.8978
0.8871,0.9279,0.907
0.8114,0.8957,0.8515
0.8935,0.9405,0.9164
0.9202,0.9481,0.934
0.7916,0.899,0.8419
0.8814,0.9362,0.908
0.8624,0.9308,0.8953
0.8978,0.9446,0.9206
0.837,0.9128,0.8732
0.8542,0.9167,0.8844
0.9332,0.9526,0.9428
0.8917,0.9334,0.9121
0.9032,0.9386,0.9206
0.8789,0.9436,0.9101
0.803,0.8839,0.8415
0.8253,0.9217,0.8708
0.9028,0.9495,0.9256
0.8808,0.9207,0.9003
0.7967,0.893,0.8421
0.8372,0.9077,0.871
0.8569,0.9131,0.8841
0.8433,0.9298,0.8844
0.8969,0.9423,0.9191
0.8496,0.9229,0.8847
0.8662,0.9174,0.8911
0.8411,0.8934,0.8665
0.8483,0.91,0.8781
0.8368,0.9145,0.8739
0.8034,0.9163,0.8561
0.8425,0.9259,0.8822
0.9178,0.967,0.9417
0.8521,0.9002,0.8755
0.7891,0.885,0.8343
0.8645,0.9428,0.9019
0.8576,0.912,0.884
0.8003,0.8766,0.8367
0.8245,0.8835,0.853
0.8385,0.9065,0.8712
0.842,0.8944,0.8674
0.8683,0.9486,0.9067
0.8834,0.9346,0.9083
0.8869,0.9334,0.9096
0.8449,0.891,0.8674
0.8113,0.8962,0.8517
0.8826,0.9288,0.9051
0.8745,0.9223,0.8977
0.8087,0.8718,0.8391
0.8468,0.9185,0.8812