spo_rougeL_P,spo_rougeL_R,spo_rougeL_F1
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.7142857142857143,0.8333333333333334,0.7692307692307692
1.0,1.0,1.0
1.0,1.0,1.0
0.9090909090909091,1.0,0.9523809523809523
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,0.888888888888889
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.7142857142857143,1.0,0.8333333333333333
0,0,0
1.0,1.0,1.0
0,0,0
0.2,1.0,0.33333333333333337
0,0,0
0.2,1.0,0.33333333333333337
0.6153846153846154,1.0,0.761904761904762
0.25,1.0,0.4
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.4,1.0,0.5714285714285715
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.3333333333333333,1.0,0.5
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8333333333333334,1.0,0.9090909090909091
0.9655172413793104,1.0,0.9824561403508771
1.0,1.0,1.0
0.8571428571428571,1.0,0.923076923076923
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.7272727272727273,1.0,0.8421052631578948
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.2857142857142857,1.0,0.4444444444444445
0.5333333333333333,0.8,0.64
1.0,1.0,1.0
0.7142857142857143,1.0,0.8333333333333333
0.8,1.0,0.888888888888889
0.6666666666666666,1.0,0.8
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.4666666666666667,0.875,0.608695652173913
1.0,1.0,1.0
1.0,1.0,1.0
0.6153846153846154,0.8,0.6956521739130435
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.5,1.0,0.6666666666666666
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.3333333333333333,1.0,0.5
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.4117647058823529,1.0,0.5833333333333334
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.7857142857142857,1.0,0.88
1.0,1.0,1.0
0.8,1.0,0.888888888888889
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.42857142857142855,1.0,0.6
0,0,0
1.0,1.0,1.0
0,0,0
0.16666666666666666,1.0,0.2857142857142857
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.9090909090909091,1.0,0.9523809523809523
1.0,1.0,1.0
1.0,1.0,1.0
0.875,1.0,0.9333333333333333
0.9375,0.9375,0.9375
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.3333333333333333,1.0,0.5
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9333333333333333,1.0,0.9655172413793104
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0.0,0.0,0.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0.0,0.0,0.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0.3333333333333333,0.5,0.4
0.6666666666666666,0.8,0.7272727272727272
0.5555555555555556,0.7142857142857143,0.6250000000000001
0,0,0
0.6666666666666666,0.8,0.7272727272727272
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.6666666666666666,1.0,0.8
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.8461538461538461,1.0,0.9166666666666666
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.8571428571428571,1.0,0.923076923076923
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.5,1.0,0.6666666666666666
0.75,1.0,0.8571428571428571
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8095238095238095,0.8947368421052632,0.8500000000000001
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.8181818181818182,1.0,0.9
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
0.8333333333333334,0.9090909090909091,0.8695652173913043
0,0,0
0.8461538461538461,1.0,0.9166666666666666
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.875,0.9333333333333333
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0,0,0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0.0,0.0,0.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0.8222222222222222,1.0,0.9024390243902439
1.0,1.0,1.0
1.0,1.0,1.0
0.9444444444444444,1.0,0.9714285714285714
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0.967741935483871,1.0,0.9836065573770492
0,0,0
0,0,0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.48148148148148145,1.0,0.65
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8333333333333334,0.8333333333333334,0.8333333333333334
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9,1.0,0.9473684210526316
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0